Batch 1,Batch 2,Batch 3,Batch 4,Batch 5,Batch 6,Batch 7
AB (AllianceBernstein),FPA Funds,PGIM Investments,AMG,Cornerstone,,
AQR Funds,Federated Hermes,PIMCO,ARK,Cove Street Capital,,
AXA Equitable,Fidelity Advisor Funds,Pax World Funds,Abbey Capital,Covered Bridge,,
AXS Investments,Fidelity Investments,Polen Capital,Absolute Investment Advisers,Cromwell,,
Aegis Funds,Fiera Capital,Poplar Forest Funds,Adirondack,CrossingBridge,,
Alger,First Eagle,Principal,Adler,Cushing,,
Allianz Global Investors,Foundry Partners,Putnam Investments,AdvisorShares,Cutler Investment Group,,
Alps Funds,Frank Funds,Queens Road Funds,Advisors Asset Management,DWS,,
Amana Mutual Funds,Franklin Templeton,Reynders McVeigh,Akre Capital,Dana Funds,,
American Century Investments,Gabelli Funds,Royce Investment Partners,Allspring,Davenport,,
American Century Investments (ACI),Gerstein Fisher,Russell Investments,Anchor Capital,Davis,,
American Funds,Goldman Sachs Asset Management,Scout Investments,Angel Oak,Dean Mutual Funds,,
Amundi US,Grandeur Peak,Seafarer Capital Partners,Apollo,Dearborn Partners,,
Appleseed Fund,Guardian Capital,Sequoia Funds,Aptus,Diamond Hill,,
Ariel Investments,Guggenheim Investments,Shelton Capital,Archer,Dinosaur Group,,
Artisan Partners,Harbor Capital,Smead Capital,Ares Capital,Direxion,,
BNY Mellon,Heartland Advisors,State Street Global Advisors,Aristotle,Distillate Capital,,
Baird Funds,Hennessy Funds,Steward Partners,Ashmore,Domini,,
Baron Capital,Homestead Funds,T. Rowe Price,Aspiration,Duff & Phelps,,
BlackRock,Integrity Viking,TCW Group,Aspiriant,Dupree,,
Boston Partners,Invesco,TIAA,BBH,E-Valuator,,
Boston Trust Walden,J.P. Morgan,Third Avenue,Baillie Gifford,Easterly,,
Brandywine Global,Janus Fund,Thornburg Investment Mgmt,Belmont Capital,Edgar Lomax,,
Brown Advisory,Janus Henderson,Thrivent Funds,Berkshire,Edgewood,,
Buffalo Funds,John Hancock Investments,Tocqueville Asset Management,Bexil,Empower,,
Calamos Investments,Keeley Funds,Torray Fund,Blue Current,EquityCompass,,
Cambiar Investors,Kinetics Mutual Funds,Torray Resolute,Blueprint,FMI Funds,,
Causeway Capital,Lazard Asset Management,Tortoise Ecofin,Boyar,FS Investments,,
Cavanal Hill Funds,Legg Mason,Touchstone,Boyd Watterson,Fairholme,,
Centerstone Investors,Lincoln Financial,Touchstone Investments,Brandes,Fenimore Asset Management,,
Chiron Investment Management,LoCorr Funds,Touchstone Sands,Bretton Capital,First Pacific,,
Clarkston Capital,Longleaf Partners,Transamerica,Bridges,Firsthand Funds,,
ClearBridge Investments,Lord Abbett,"Tweedy, Browne Company",Bright Rock,Flaherty & Crumrine,,
Clipper Fund,MFS Investment Management,Value Line Funds,CCT Asset Management,Forester Funds,,
Cohen & Steers,MP63 Fund,VanEck,CRM Funds,Fort Pitt Capital,,
Columbia Threadneedle,MainStay Investments,Victory Capital,Capital Group,Frontier Funds,,
Commerce Funds,MassMutual,Virtue Funds,Carillon,Frost Funds,,
Commerce Trust,Matthews Asia,Virtus Investment Partners,Castle Investment Management,GMO,,
Crossmark Global,Mesirow Financial,WCM Investment Mgmt,Catholic Responsible Investments,GQG Partners,,
Cullen Funds,Morgan Stanley Investment Mgmt,Wasatch Global Investors,Champlain,Gator Capital,,
Davidson Investment,Nationwide Funds,Weitz Investment Management,Chesapeake,Geneva,,
Delaware Funds,Natixis Investment Managers,Westwood Holdings,Clark Fork,Glenmede,,
Delaware Investments,Neuberger Berman,William Blair,Clifford Capital,Global X,,
Destra Capital,New York Life Investments,Yacktman Funds,Clough Capital,GoodHaven,,
Dodge & Cox,North Square Investments,Zevenbergen Capital,Community Capital Management,Grayscale,,
Dreyfus Corporation,Northern Trust,1290 Funds,Conestoga,GuideStone,,
Driehaus Capital Management,Nuveen,1919 Funds,Congress Asset Management,,,
Eaton Vance,Oakmark Fund,1WS Capital,Copeland,,,
Eventide,Old Mutual Asset Management,AFA Funds,Core Alternative,,,
Eventide Funds,Osterweis Capital,AGF Investments,CornerCap,,,
