podcast_name,apple_url,website_url,rss_url,rss_from_website
Acquired,https://podcasts.apple.com/us/podcast/acquired/id1050462261?uo=4,,https://feeds.transistor.fm/acquired,
The Grant Williams Podcast,https://podcasts.apple.com/us/podcast/the-grant-williams-podcast/id1508585135?uo=4,https://podcasts.apple.com/us/podcast/the-hundred-year-pivot-ep-9-roger-mitchell/id1508585135?i=1000733522267,https://feed.podbean.com/ttmygh/feed.xml,https://podcasts.apple.com/us/new
The Security Analysis Podcast,https://podcasts.apple.com/us/podcast/the-security-analysis-podcast/id1683347145?uo=4,https://podcasts.apple.com/us/podcast/tobias-carlisle-sun-tzu-warren-buffett/id1683347145?i=1000736483196,https://api.substack.com/feed/podcast/263142.rss,https://podcasts.apple.com/us/new
On the Balance Sheet,https://podcasts.apple.com/us/podcast/on-the-balance-sheet/id1612852888?uo=4,,https://rss.buzzsprout.com/1937684.rss,
PzenaPerspectives,https://podcasts.apple.com/us/podcast/pzenaperspectives/id1495884960?uo=4,,https://feeds.castos.com/ddkx,
The Insight by Oaktree Capital,https://podcasts.apple.com/us/podcast/the-insight-by-oaktree-capital/id1678330013?uo=4,,https://rss.art19.com/the-insight,
Ironsides Macroeconomics,https://podcasts.apple.com/us/podcast/ironsides-macroeconomics-its-never-different-this-time/id1483856533?uo=4,,https://api.substack.com/feed/podcast/4168.rss,
"Builder, Banker, Hacker, Chief",https://podcasts.apple.com/us/podcast/builder-banker-hacker-chief/id1658866139?uo=4,https://podcasts.apple.com/us/podcast/julie-thurlow-gaining-a-holistic-perspective/id1658866139?i=1000728252002,https://feeds.zencastr.com/f/yq7j2lDT.rss,https://podcasts.apple.com/us/new
Superinvestors and the Art of Worldly Wisdom,https://podcasts.apple.com/us/podcast/superinvestors-and-the-art-of-worldly-wisdom/id1242377947?uo=4,https://podcasts.apple.com/us/podcast/57-asif-suria-on-the-virtues-of-event-driven-investing/id1242377947?i=1000617878810,https://feed.podbean.com/jessegx/feed.xml,https://podcasts.apple.com/us/new
The Education of a Value Investor,https://podcasts.apple.com/us/podcast/the-education-of-a-value-investor/id1514273768?uo=4,,https://feeds.simplecast.com/NIOj817_,
Moody's Talks - Focus on Finance,https://podcasts.apple.com/us/podcast/moodys-talks-focus-on-finance/id1527267652?uo=4,,https://feeds.simplecast.com/z7mJp4gz,
Moody's Talks - Behind the Bonds,https://podcasts.apple.com/us/podcast/moodys-talks-behind-the-bonds/id1591242650?uo=4,,https://feeds.simplecast.com/rqYt9hFE,
The Price-to-Value Podcast,https://podcasts.apple.com/us/podcast/the-price-to-value-podcast-with-southeastern/id1434613123?uo=4,,https://thepricetovaluepodcast.libsyn.com/rss,
Moody's Talks - Securitization Spotlight,https://podcasts.apple.com/us/podcast/moodys-talks-securitization-spotlight/id1554903217?uo=4,,https://feeds.simplecast.com/o_K8X5mK,
Moody's Talks - Muniland,https://podcasts.apple.com/us/podcast/moodys-talks-muniland/id1556880961?uo=4,,https://feeds.simplecast.com/HRISijc8,
Capital Cyclists,https://podcasts.apple.com/us/podcast/capital-cyclists/id1697479667?uo=4,,https://feeds.acast.com/public/shows/64b11e93955b1500110e5417,
Nareit's REIT Report Podcast,https://podcasts.apple.com/us/podcast/nareits-reit-report-podcast/id645975149?uo=4,,https://rss.buzzsprout.com/2455959.rss,
The Intellectual Investor,https://podcasts.apple.com/us/podcast/the-intellectual-investor-value-investing-by-vitaliy/id1452934856?uo=4,,https://investor.fm/feed/,
Planet MicroCap Podcast,https://podcasts.apple.com/us/podcast/planet-microcap-podcast-microcap-investing-strategies/id1024217659?uo=4,,https://planetmicrocap.podbean.com/feed.xml,
The Memo by Howard Marks,https://podcasts.apple.com/us/podcast/the-memo-by-howard-marks/id1521551570?uo=4,,https://rss.art19.com/the-memo-by-howard-marks,
Trumponomics,https://podcasts.apple.com/us/podcast/trumponomics/id1038108799?uo=4,,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/84f3c095-964f-4994-9d24-ae2b00130029/c9553948-bc39-4871-8989-ae2b00130032/podcast.rss,
Mining Stock Education,https://podcasts.apple.com/us/podcast/mining-stock-education/id1236750409?uo=4,https://podcasts.apple.com/us/podcast/gold-miners-are-cheap-relative-to-the-gold-price-says/id1236750409?i=1000737231277,https://feeds.soundcloud.com/users/soundcloud:users:135447110/sounds.rss,https://podcasts.apple.com/us/new
The World According to Boyar,https://podcasts.apple.com/us/podcast/the-world-according-to-boyar/id1374552755?uo=4,,https://feeds.buzzsprout.com/726525.rss,
Hedgeye Podcasts,https://podcasts.apple.com/us/podcast/hedgeye-podcasts/id1216703941?uo=4,,https://rss.buzzsprout.com/88009.rss,
KayneCast,https://podcasts.apple.com/us/podcast/kaynecast-kayne-anderson-rudnicks-podcast-channel/id797217738?uo=4,,https://kayne.com/feed.xml,
Investment Management Operations,https://podcasts.apple.com/us/podcast/investment-management-operations/id1689696923?uo=4,,https://feeds.megaphone.fm/investment-management-ops,
CFA Society Chicago,https://podcasts.apple.com/us/podcast/cfa-society-chicago/id1497170598?uo=4,,https://rss.libsyn.com/shows/241046/destinations/1800944.xml,
Compound Insights,https://podcasts.apple.com/us/podcast/compound-insights/id1491984289?uo=4,,https://rss.libsyn.com/shows/200660/destinations/1429430.xml,
Compounders Podcast,https://podcasts.apple.com/us/podcast/compounders-podcast/id1579124518?uo=4,https://podcasts.apple.com/us/podcast/the-enduring-appeal-of-smaller-cap-stocks-with/id1579124518?i=1000734207026,https://feed.podbean.com/compounders/feed.xml,https://podcasts.apple.com/us/new
Standard Deviations,https://podcasts.apple.com/us/podcast/standard-deviations-with-dr-daniel-crosby/id1241946146?uo=4,,https://feeds.simplecast.com/XnV_1Ojp,
Financial Perspectives,https://podcasts.apple.com/us/podcast/financial-perspectives/id1565256444?uo=4,https://podcasts.apple.com/us/podcast/insights-into-international-equity-strategy/id1565256444?i=1000710055942,https://feeds.captivate.fm/financial-perspectives/,https://podcasts.apple.com/us/new
Street Talk,https://podcasts.apple.com/us/podcast/street-talk/id1277129317?uo=4,,https://streettalksp.libsyn.com/rss,
Talking Transports,https://podcasts.apple.com/us/podcast/talking-transports/id1717602502?uo=4,,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/4a3fc308-bd0c-4ec5-868c-b0b901487aae/760b84ac-8f84-402c-aae6-b0b90148d322/podcast.rss,
Financial Advisor Success,https://podcasts.apple.com/us/podcast/financial-advisor-success/id1190341231?uo=4,,https://rss.libsyn.com/shows/83727/destinations/395010.xml,
Insightful Investor,https://podcasts.apple.com/us/podcast/insightful-investor/id1718459006?uo=4,,https://feeds.captivate.fm/insightful-investor/,
Invest Like the Best,https://podcasts.apple.com/us/podcast/invest-like-the-best-with-patrick-oshaughnessy/id1154105909?uo=4,,https://feeds.megaphone.fm/CLS2859450455,
Shopify Masters,https://podcasts.apple.com/us/podcast/shopify-masters/id900763980?uo=4,,https://feeds.simplecast.com/_Mc9bpsL,
Sprott Radio,https://podcasts.apple.com/us/podcast/sprott-radio/id1552721685?uo=4,,https://rss.buzzsprout.com/1651333.rss,
Grant's Current Yield Podcast,https://podcasts.apple.com/us/podcast/grants-current-yield-podcast/id1207583745?uo=4,,https://rss.libsyn.com/shows/98027/destinations/509399.xml,
OTCQB Podcast,https://podcasts.apple.com/us/podcast/otcqb-podcast/id1193668018?uo=4,,https://rss.libsyn.com/shows/92077/destinations/461603.xml,
Capital Allocators,https://podcasts.apple.com/us/podcast/capital-allocators-inside-the-institutional/id1223764016?uo=4,,https://rss.libsyn.com/shows/94820/destinations/482814.xml,
Masters in Business,https://podcasts.apple.com/us/podcast/masters-in-business/id730188152?uo=4,,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/4e4cd910-40a1-4619-a5f3-ae2b0012ffff/5873a3cb-298f-40bc-b71f-ae2b0013000d/podcast.rss,
The Disciplined Investor,https://podcasts.apple.com/us/podcast/the-disciplined-investor/id217999782?uo=4,https://podcasts.apple.com/us/podcast/tdi-podcast-traders-campus-940/id217999782?i=1000728935939,http://feeds.feedburner.com/tdicasts,https://podcasts.apple.com/us/new
WSJ Your Money Briefing,https://podcasts.apple.com/us/podcast/wsj-your-money-briefing/id152024419?uo=4,,https://video-api.wsj.com/podcast/rss/wsj/your-money-matters,
Barron's Streetwise,https://podcasts.apple.com/us/podcast/barrons-streetwise/id1504250328?uo=4,,https://video-api.barrons.com/podcast/rss/barrons/streetwise?partner=itunes,
Moody's Talks - Inside Economics,https://podcasts.apple.com/us/podcast/moodys-talks-inside-economics/id1559966912?uo=4,,https://feeds.simplecast.com/4LZRim3c,
Value Investing with Legends,,,,
Bold Names,,,,
Nonprofit Investment Stewards,,,,
Moody's Talks - Emerging Markets,https://podcasts.apple.com/us/podcast/moodys-talks-emerging-markets-decoded/id1524293080?uo=4,,https://feeds.simplecast.com/KRfUJOyp,
Octus Radio,https://podcasts.apple.com/us/podcast/octus-radio/id1326289731?uo=4,,https://feeds.soundcloud.com/users/soundcloud:users:337198688/sounds.rss,
Best New Ideas in Money,https://podcasts.apple.com/us/podcast/best-new-ideas-in-money/id1587222768?uo=4,,https://video-api.barrons.com/podcast/rss/marketwatch/best-new-ideas-in-money?partner=itunes,
Investing the Templeton Way,https://podcasts.apple.com/us/podcast/investing-the-templeton-way/id1604395168?uo=4,https://podcasts.apple.com/us/podcast/quantamental-investing-emerging-markets-with-jason-hsu/id1604395168?i=1000631607794,https://feeds.buzzsprout.com/1815579.rss,https://podcasts.apple.com/us/new
Numbers by Barron's,https://podcasts.apple.com/us/podcast/numbers-by-barrons/id1435950211?uo=4,,https://video-api.barrons.com/podcast/rss/barrons/numbers-by-barrons?partner=itunes,
Valuewalk's ValueTalks,https://podcasts.apple.com/us/podcast/valuewalks-valuetalks/id1275767283?uo=4,,https://feeds.soundcloud.com/users/soundcloud:users:325509635/sounds.rss,
WSJ Secrets of Wealthy Women,https://podcasts.apple.com/us/podcast/wsj-secrets-of-wealthy-women/id1292819540?uo=4,,https://video-api.wsj.com/podcast/rss/wsj/secrets-of-wealthy-women,
MarketFoolery,https://podcasts.apple.com/us/podcast/marketfoolery/id413551999?uo=4,,https://marketfoolery.libsyn.com/rss,
The Readback,https://podcasts.apple.com/us/podcast/the-readback/id1437318487?uo=4,,https://video-api.barrons.com/podcast/rss/barrons/the-readback?partner=itunes,
Moody's Talks - Magnify,https://podcasts.apple.com/us/podcast/moodys-talks-magnify/id1529625708?uo=4,,https://feeds.simplecast.com/bY3cz2io,
The Zurich Project,https://podcasts.apple.com/us/podcast/the-zurich-project-build-a-great-investment/id1216857779?uo=4,,https://feeds.soundcloud.com/users/soundcloud:users:295900052/sounds.rss,
The T. Boone Pickens Channel,https://podcasts.apple.com/us/podcast/the-t-boone-pickens-channel/id981682194?uo=4,,https://audioboom.com/channels/3625697.rss,
Insana Insights,https://podcasts.apple.com/us/podcast/insana-insights-with-ron-insana/id810495885?uo=4,,https://feeds.feedburner.com/InsanaInsightsWithRonInsana,
Value Investing Bootcamp,https://podcasts.apple.com/us/podcast/value-investing-bootcamp-podcast-invest-like-the-pros/id882469822?uo=4,,https://www.valuespreadsheet.com/value-investing-bootcamp-podcast-feed/,
Steve Forbes: What's Ahead,https://podcasts.apple.com/us/podcast/steve-forbes-whats-ahead/id1453789640?uo=4,,https://rss.art19.com/steve-forbes-whats-ahead,
Cocktail Investing,https://podcasts.apple.com/us/podcast/cocktails-and-commodities/id1692863376?uo=4,,https://anchor.fm/s/e200a2d4/podcast/rss,
Value Investing Podcast,https://podcasts.apple.com/us/podcast/get-that-bread-a-value-investing-podcast/id1455300192?uo=4,https://podcasts.apple.com/us/podcast/episode-10-stock-analysis-2019-a-case-study-of/id1455300192?i=1000439687875,https://pinecast.com/feed/get-that-bread,https://podcasts.apple.com/us/new
WSJ MoneyBeat,https://podcasts.apple.com/us/podcast/holistic-survival-show-economic-crisis/id323238684?uo=4,,http://feeds.feedburner.com/holisticsurvival,
WSJ Watching Your Wealth,https://podcasts.apple.com/us/podcast/whatever-happened-to-pizza-at-mcdonalds/id1152856686?uo=4,,https://anchor.fm/s/fa677aa0/podcast/rss,
The Shipping Podcast,https://podcasts.apple.com/us/podcast/lloyds-list-the-shipping-podcast/id1388378983?uo=4,,https://feeds.soundcloud.com/users/soundcloud:users:435085245/sounds.rss,
